x,y
18.58326,-70.668419
19.093903,-70.705467
20.003197,-70.708382
20.65407,-70.719772
21.571985,-70.729713
22.065914,-70.74424
22.680914,-70.745277
23.396488,-70.753212
24.10515,-70.747749
25.132141,-70.777473
25.917637,-70.78672
27.420076,-70.814423
28.016314,-70.844559
28.515636,-70.855774
29.288206,-70.892609
30.168175,-70.930397
30.706873,-70.953651
31.271427,-70.99749
32.080208,-71.053108
32.893013,-71.097107
35.540947,-71.01075
36.440014,-70.933502
37.444271,-70.832809
38.082237,-70.798134
38.669239,-70.740944
40.058475,-70.40284
40.564274,-70.14431
41.566792,-69.383736
42.046432,-68.8172
42.431583,-68.200912
42.840042,-67.318771
43.154259,-66.124405
43.274609,-65.357079
43.395931,-64.577675
43.507244,-63.504601
43.580685,-62.944416
43.759098,-61.524384
43.95583,-59.876724
44.081825,-58.612255
44.145374,-57.878708
44.18388,-57.313339
44.230999,-56.615028
44.283161,-55.934174
44.32835,-55.330326
44.400749,-54.692471
44.468136,-54.013767
44.584274,-52.923431
44.655415,-52.242283
44.722866,-51.659409
44.828022,-50.724815
44.903881,-50.049694
44.987465,-49.361809
45.062946,-48.816589
45.140984,-48.144917
45.221989,-47.274101
45.296524,-46.674892
45.38903,-46.084099
45.485664,-45.1912
45.632706,-44.236046
45.760178,-43.491905
45.79694,-42.960289
45.876869,-42.339001
45.980774,-41.673237
46.082104,-41.017078
46.144749,-40.414005
46.215137,-39.785988
46.336277,-39.122341
46.536129,-37.974819
46.698414,-37.197277
46.688858,-36.63776
46.856972,-35.984859
47.066296,-35.332584
47.39283,-34.199459
47.614716,-33.445347
47.794502,-32.901875
47.996349,-32.31036
48.192799,-31.715275
48.508091,-30.836943
48.804935,-29.915159
48.990894,-29.190145
49.192646,-28.388096
49.524517,-27.229265
49.840534,-26.273466
50.04311,-25.624846
50.35453,-24.756308
50.555855,-24.146431
50.774658,-23.581608
51.159084,-22.506907
51.406384,-21.914835
51.784439,-21.084778
52.044167,-20.495661
52.241608,-19.948599
52.537697,-19.191774
52.752193,-18.564192
53.031364,-17.69973
53.186356,-17.129913
53.369087,-16.574341
53.557796,-15.999076
53.860054,-15.049493
54.018707,-14.516492
54.210136,-13.824046
54.458359,-12.936418
54.739433,-12.043713
54.961739,-11.313757
55.166718,-10.646406
55.521019,-9.487766
55.722034,-8.810858
56.009792,-7.928371
56.194756,-7.367377
56.39843,-6.741068
56.565533,-6.219091
56.90115,-5.259995
57.071362,-4.669359
57.3466,-3.847577
57.524048,-3.251941
57.672176,-2.712353
57.910542,-1.752146
58.070873,-0.830961
58.135437,-0.244204
58.192177,0.469602
57.968147,1.734197
57.586143,2.565672
56.739098,3.63228
56.112309,4.180111
55.408985,4.608277
54.850864,4.866729
53.939274,5.126395
52.921425,5.316352
52.012413,5.440688
51.354687,5.487011
50.410202,5.53363
49.787853,5.610717
49.200062,5.711916
48.644024,5.76842
